t,x,y
0.0200,0.39060465459346005,1.360566653719502
0.0300,0.4471143243250921,1.3623281829540872
0.0400,0.5035293274377111,1.3632839984402096
0.0500,0.5598499805773969,1.363433513870831
0.0600,0.6160765988041916,1.3627761458756424
0.0700,0.6722094956026581,1.36131131400154
0.0800,0.7282489828923673,1.359038440693169
0.0900,0.784195371038301,1.355956951273697
0.1000,0.8400489688611756,1.3520662739256295
0.1100,0.8958100836476461,1.347365839672051
0.1200,0.9514790211604662,1.3418550823576112
0.1300,1.0070560856485642,1.3355334386300797
0.1400,1.062541579856962,1.3284003479218427
0.1500,1.1179358050367583,1.320455252431472
0.1600,1.173239060954856,1.3116975971057059
0.1700,1.2284516459037533,1.3021268296212583
0.1800,1.2835738567111576,1.2917424003671414
0.1900,1.338605988749599,1.2805437624268023
0.2000,1.3935483359459013,1.26853037156053
0.2100,1.4484011907906051,1.2557016861880754
0.2200,1.5031648443473173,1.2420571673713425
0.2300,1.5578395862619558,1.227596278797236
0.2400,1.6124257047719937,1.2123184867605659
0.2500,1.6669234867155112,1.1962232601472635
0.2600,1.7213332175402698,1.179310070417614
0.2700,1.7756551813127004,1.1615783915896003
0.2800,1.829889660726785,1.1430277002224472
0.2900,1.8840369371128816,1.123657475400293
0.3000,1.93809729044645,1.1034671987160038
0.3100,1.9920709993568195,1.082456354255001
0.3200,2.045958341135716,1.0606244285793878
0.3300,2.0997595917458867,1.0379709107121045
0.3400,2.1534750258294935,1.014495292121211
0.3500,2.207104916716638,0.9901970667042548
0.3600,2.2606495364335615,0.9650757307730231
0.3700,2.314109155711087,0.939130783037939
0.3800,2.3674840439926967,0.9123617245930689
0.3900,2.4207744694427404,0.8847680589008888
0.4000,2.4739806989545414,0.856349291777434
0.4100,2.527102998158348,0.8271049313773915
0.4200,2.5801416314293633,0.7970344881793636
0.4300,2.633096861895588,0.7661374749712309
0.4400,2.6859689514456733,0.7344134068357135
0.4500,2.738758160736701,0.7018618011359337
0.4600,2.7914647492018716,0.6684821775011471
0.4700,2.8440889750581633,0.634274057812604
0.4800,2.8966310953139356,0.5992369661894372
0.4900,2.9490913657764466,0.5633704289747925
0.5000,3.001470041059328,0.5266739747218878
0.5100,3.053767374589981,0.48914713418042766
0.5200,3.105983618616996,0.4507894402828754
0.5300,3.1581190242173562,0.41160042813092446
0.5400,3.210173841303778,0.37157963498218294
0.5500,3.26214831863183,0.3307266002367584
0.5600,3.314042703807104,0.28904086542418383
0.5700,3.3658572432922753,0.2465219741900455
0.5800,3.4175921824141255,0.20316947228336346
0.5900,3.4692477653705254,0.15898290754337552
0.6000,3.5208242352373276,0.11396182988687542
0.6100,3.572321833975252,0.06810579129545147
0.6200,3.623740802436693,0.021414345802881485
