t,x,y
0.0200,0.39057828044402193,1.360107568459176
0.0300,0.4470827808783587,1.3613533745823567
0.0400,0.503513693600851,1.361737107592336
0.0500,0.5598712101581943,1.3612584579258509
0.0600,0.6161555213498471,1.3599171172272668
0.0700,0.6723668172319136,1.3577127783423018
0.0800,0.7285052871210019,1.3546451353117914
0.0900,0.7845711195980563,1.3507138833654955
0.1000,0.8405645025121652,1.3459187189159438
0.1100,0.8964856229843449,1.3402593395523215
0.1200,0.9523346674112978,1.3337354440343945
0.1300,1.0081118214691476,1.3263467322864737
0.1400,1.0638172701171493,1.3180929053914185
0.1500,1.1194511976013768,1.3089736655846786
0.1600,1.175013787458385,1.2989887162483735
0.1700,1.2305052225188502,1.2881377619054108
0.1800,1.2859256849111858,1.2764205082136422
0.1900,1.3412753560651354,1.2638366619600558
0.2000,1.3965544167153436,1.2503859310550076
0.2100,1.4517630469049028,1.2360680245264868
0.2200,1.5069014259888778,1.2208826525144207
0.2300,1.5619697326378088,1.2048295262650137
0.2400,1.616968144841191,1.1879083581251235
0.2500,1.6718968399109329,1.1701188615366722
0.2600,1.726755994484792,1.1514607510310935
0.2700,1.781545784529789,1.1319337422238145
0.2800,1.8362663853456018,1.1115375518087731
0.2900,1.890917971567935,1.090271897552969
0.3000,1.9455007171718706,1.0681364982910502
0.3100,2.0000147954751974,1.0451310739199327
0.3200,2.0544603791417186,1.0212553453934543
0.3300,2.1088376401845386,0.9965090347170628
0.3400,2.16314674996933,0.9708918649425362
0.3500,2.2173878792175796,0.9444035601627371
0.3600,2.2715611980098145,0.9170438455063991
0.3700,2.3256668757888064,0.8888124471329465
0.3800,2.3797050813627583,0.859709092227346
0.3900,2.4336759829084698,0.8297335089949907
0.4000,2.4875797479744834,0.7988854266566153
0.4100,2.5414165434842104,0.7671645754432443
0.4200,2.5951865357390385,0.7345706865911702
0.4300,2.6488898904214184,0.7011034923369635
0.4400,2.702526772597933,0.6667627259125136
0.4500,2.7560973467223473,0.6315481215401008
0.4600,2.8096017766386385,0.5954594144274975
0.4700,2.863040225584008,0.5584963407631013
0.4800,2.9164128561918754,0.5206586377110969
0.4900,2.969719830494852,0.4819460434066482
0.5000,3.0229613099276995,0.44235829695112033
0.5100,3.0761374553302665,0.4018951384073304
0.5200,3.1292484269504106,0.36055630879482775
0.5300,3.1822943844468994,0.3183415500852033
0.5400,3.2352754868922964,0.2752506051974273
0.5500,3.288191892775828,0.23128321799321555
0.5600,3.3410437600062317,0.18643913327242445
0.5700,3.3938312459145905,0.14071809676847344
0.5800,3.4465545072571464,0.09411985514379584
0.5900,3.499213700218099,0.04664415598531712
0.6000,3.551808980412386,-0.0017092522000392088
